task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
118	7e/ed11e0	5356092	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (ND0013)	COMPLETED	0	2026-02-26 14:03:03.003	13m 7s	12m 29s	23.7%	8.4 MB	222.4 MB	4.8 GB	253.9 KB
98	3d/0184a3	5356060	NFCORE_RNASEQ:RNASEQ:STRINGTIE_STRINGTIE (ND0013)	COMPLETED	0	2026-02-26 13:44:09.545	32m 16s	31m 5s	34.5%	2.5 GB	2.7 GB	5.8 GB	548.2 MB
102	80/7aef3b	5356083	NFCORE_RNASEQ:RNASEQ:BAM_RSEQC:RSEQC_READDISTRIBUTION (ND0013)	COMPLETED	0	2026-02-26 14:03:02.213	13m 24s	12m 55s	52.7%	1005.1 MB	1.7 GB	5.1 GB	1.7 KB
106	e9/6b7cc9	5356086	NFCORE_RNASEQ:RNASEQ:BAM_RSEQC:RSEQC_JUNCTIONSATURATION (ND0013)	COMPLETED	0	2026-02-26 14:03:02.558	14m 26s	13m 34s	31.7%	1.2 GB	1.9 GB	4.9 GB	27.9 KB
104	fe/e783e4	5356078	NFCORE_RNASEQ:RNASEQ:BAM_RSEQC:RSEQC_BAMSTAT (ND0013)	COMPLETED	0	2026-02-26 14:03:00.969	15m 24s	14m 52s	26.8%	46.4 MB	775.8 MB	4.9 GB	1.3 KB
123	d7/5b211b	5356111	NFCORE_RNASEQ:RNASEQ:BEDGRAPH_BEDCLIP_BEDGRAPHTOBIGWIG_REVERSE:UCSC_BEDGRAPHTOBIGWIG (ND0013)	COMPLETED	0	2026-02-26 14:14:49.448	3m 35s	2m 14s	11.5%	48.6 MB	63.3 MB	704.8 MB	63.1 MB
124	6c/e11180	5356112	NFCORE_RNASEQ:RNASEQ:BEDGRAPH_BEDCLIP_BEDGRAPHTOBIGWIG_FORWARD:UCSC_BEDGRAPHTOBIGWIG (ND0013)	COMPLETED	0	2026-02-26 14:16:00.728	2m 44s	1m 59s	13.2%	49.7 MB	64.4 MB	716.2 MB	64.2 MB
107	43/d26aea	5356082	NFCORE_RNASEQ:RNASEQ:BAM_RSEQC:RSEQC_READDUPLICATION (ND0013)	COMPLETED	0	2026-02-26 14:03:02.164	16m 17s	15m 20s	30.4%	5.1 GB	5.8 GB	4.9 GB	829.6 KB
116	4d/aeabd4	5356080	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (ND0323)	COMPLETED	0	2026-02-26 14:03:01.989	16m 33s	16m 28s	13.8%	8.8 MB	222.4 MB	3.6 GB	250 KB
111	dd/18a479	5356081	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (ND0323)	COMPLETED	0	2026-02-26 14:03:02.049	16m 58s	16m 27s	4.4%	6.9 MB	220.9 MB	3.6 GB	5.4 KB
110	e6/5a2031	5356087	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (ND0463)	COMPLETED	0	2026-02-26 14:03:02.629	25m 52s	25m 49s	1.8%	6.9 MB	220.9 MB	3 GB	5.4 KB
101	18/d63771	5356058	NFCORE_RNASEQ:RNASEQ:SUBREAD_FEATURECOUNTS (ND0013)	COMPLETED	0	2026-02-26 13:44:09.405	51m 15s	50m 39s	21.1%	2 GB	2.5 GB	59.3 GB	39.4 GB
125	1c/8e3e6a	5356162	NFCORE_RNASEQ:RNASEQ:MULTIQC_CUSTOM_BIOTYPE (ND0013)	COMPLETED	0	2026-02-26 14:35:27.113	1m 52s	59s	0.6%	24.6 MB	36.1 MB	27.9 MB	2.8 KB
109	84/24c15e	5356091	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (ND0463)	COMPLETED	0	2026-02-26 14:03:02.952	34m 42s	33m 34s	5.8%	9 MB	222.4 MB	3 GB	252.8 KB
113	fd/569ad6	5356088	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (ND0693)	COMPLETED	0	2026-02-26 14:03:02.705	40m 37s	40m 36s	1.7%	6.9 MB	220.9 MB	3.9 GB	5.4 KB
117	3f/233e09	5356084	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (ND0693)	COMPLETED	0	2026-02-26 14:03:02.362	40m 37s	40m 36s	6.0%	8.4 MB	222.4 MB	3.9 GB	251.8 KB
53	c3/b3b4cc	5355738	NFCORE_RNASEQ:RNASEQ:DUPRADAR (ND0323)	COMPLETED	0	2026-02-26 12:15:53.968	2h 28m 1s	2h 27m 21s	18.8%	677.5 MB	925.7 MB	151.4 GB	97.9 GB
126	cf/65b3a4	5356178	NFCORE_RNASEQ:RNASEQ:CUSTOM_DUMPSOFTWAREVERSIONS (1)	COMPLETED	0	2026-02-26 14:43:51.409	2m 13s	42.4s	0.4%	15.4 MB	22.1 MB	1.2 MB	9.3 KB
74	67/696fe8	5355843	NFCORE_RNASEQ:RNASEQ:DUPRADAR (ND0693)	COMPLETED	0	2026-02-26 12:46:54.438	2h 43m 55s	2h 43m 33s	17.7%	692.9 MB	989.7 MB	164 GB	106.6 GB
100	53/05751d	5356059	NFCORE_RNASEQ:RNASEQ:QUALIMAP_RNASEQ (ND0013)	COMPLETED	0	2026-02-26 13:44:09.462	1h 46m 40s	1h 45m 42s	33.5%	5.8 GB	32.4 GB	55.3 GB	49.6 GB
97	6b/e83e5f	5356061	NFCORE_RNASEQ:RNASEQ:DUPRADAR (ND0013)	COMPLETED	0	2026-02-26 13:44:09.616	2h 18m 15s	2h 17m 15s	31.9%	701.6 MB	1 GB	236.7 GB	157 GB
127	04/ba03e5	5356415	NFCORE_RNASEQ:RNASEQ:MULTIQC (1)	COMPLETED	0	2026-02-26 16:02:27.689	1m 42s	52.3s	155.5%	201.1 MB	1.1 GB	496.3 MB	21 MB
