gene_id	gene_name	ND0013	ND0323	ND0463	ND0693
ENSG00000240131	AL049829.1	0	0	0	0
ENSG00000240132	ETF1P2	0	0	1	1.003
ENSG00000240135	PSMD12P	0	0	0	0
ENSG00000240137	ERICH6-AS1	22	15	24	16
ENSG00000240138	EEF1GP4	0	0	0	0
ENSG00000240143	AL023653.1	2.031	3.127	7.325	1.028
ENSG00000240151	RN7SL826P	0	0	0	0
ENSG00000240152	LINC02271	0	0	0	0
ENSG00000240156	COX6CP6	0	0	0	0
ENSG00000240159	AC079080.1	0	0	0	0
ENSG00000240160	RN7SL263P	0	0	0	1
ENSG00000240163	AC087385.1	0	0	0	0
ENSG00000240167	RPS7P7	0	0	0	0
ENSG00000240173	RN7SL771P	0	0	0	0
ENSG00000240174	AP000852.1	0	0	0	0
ENSG00000240175	MAGI1-AS1	0	0	0	0
ENSG00000240179	RPL26P3	0	0	0	0
ENSG00000240180	RPL12P28	5.148	6.785	0	6.878
ENSG00000240183	RN7SL297P	0	0	0	0
ENSG00000240184	PCDHGC3	8.775	3	96.169	3
ENSG00000240186	RN7SL633P	0	0	0	0
ENSG00000240189	RN7SL621P	0	0	0	0
ENSG00000240194	CYMP	0	0	0	0
ENSG00000240197	AC245884.5	0	0	0	0
ENSG00000240198	ARHGEF3-AS1	0	0	0	0
ENSG00000240199	RN7SL520P	0	0	0	0
ENSG00000240201	AL133372.1	0	0	0	0
ENSG00000240202	RN7SL223P	0	0	0	0
ENSG00000240203	RN7SL567P	0	0	0	0
ENSG00000240204	SMKR1	5	7	2	12
ENSG00000240205	RN7SL865P	0	0	0	0
ENSG00000240207	AC080013.1	1	2	1	2
ENSG00000240210	AL122013.1	0	0	0	0
ENSG00000240211	AC092849.1	5	3	4	5
ENSG00000240215	TRBV25OR9-2	0	0	0	0
ENSG00000240216	CPHL1P	2	0	2	0
ENSG00000240219	AL512306.2	72	63	48	183
ENSG00000240224	UGT1A5	0	0	0	0
ENSG00000240225	ZNF542P	174.001	58	165.001	75
ENSG00000240230	COX19	551	500.66	698	520
ENSG00000240231	RPS27P29	0	0	1.009	0
ENSG00000240233	RN7SL587P	5.002	4	3	2.001
ENSG00000240235	RN7SL794P	0	0	0	0
ENSG00000240236	HNRNPA1P23	0	0	0	0
ENSG00000240237	AF305872.1	0	1	1	0
ENSG00000240238	AC092754.1	0	0	0	0
ENSG00000240240	BX664727.3	3.334	0	4.92	4.263
ENSG00000240241	AC108752.1	0	0	0	0
ENSG00000240244	GAPDHP33	0	0	2	0
ENSG00000240246	AC108751.2	0	0	0	0
ENSG00000240247	DEFA1B	30.764	257.072	0	316.402
ENSG00000240250	RN7SL541P	0	0	0	0
ENSG00000240253	FAR2P3	1	2	0	0
ENSG00000240254	B4GALT4-AS1	0	0	0	0
ENSG00000240255	PSMC1P6	0	0	0	0
