gene_id	gene_name	ND0013	ND0323	ND0463	ND0693
ENSG00000282904	AC107398.4	0	0	0	0
ENSG00000282906	AL513321.2	0	0	0	0
ENSG00000282907	Z98883.1	0.247475	0	0.112086	0.108878
ENSG00000282909	AC007241.2	0	0	0	0
ENSG00000282911	DUX4L35	0	0.048096	0	0
ENSG00000282912	AC108724.2	0	0	0	0
ENSG00000282914	Z83818.2	0	0	0	0
ENSG00000282915	AC091769.2	0.066432	0	0	0.085168
ENSG00000282916	LINC02746	0	0	0.087185	0.031961
ENSG00000282917	AC107068.2	0	0	0	0
ENSG00000282921	CFTRP2	0	0	0	0
ENSG00000282924	AC136428.4	0	0	0	0
ENSG00000282925	AC010424.3	0	0	0	0
ENSG00000282927	AC136944.6	0	0	0	0
ENSG00000282933	RHOXF1P3	0.024235	0.035764	0.112941	0.072483
ENSG00000282935	DUX4L34	0	0	0	0
ENSG00000282936	AC004706.3	0.24278	0.379881	0.901793	0.451972
ENSG00000282939	TRBV7-2	15.467795	19.814606	25.644919	13.951693
ENSG00000282943	AC004784.1	0	0	0	0
ENSG00000282944	AC140481.3	0	0	0	0
ENSG00000282946	AC018558.5	0	0	0	0
ENSG00000282949	PCMTD1P7	0	0	0	0
ENSG00000282950	AC063952.4	0	0	0	0
ENSG00000282951	AC008537.4	0.043451	0.031942	0	0.167106
ENSG00000282952	AL583852.1	0	0	0	0
ENSG00000282961	PRNCR1	0.009697	0	0.090815	0.006202
ENSG00000282964	AC026108.1	0	0	0	0
ENSG00000282965	AP001005.3	0	0	0	0.201847
ENSG00000282968	AGGF1P10	0	0	0	0
ENSG00000282973	AC141257.3	0	0	0	0
ENSG00000282975	LINC02034	0	0	0	0
ENSG00000282977	PCBP2-OT1	0.194716	0.28518	7.519307	0
ENSG00000282978	AC110994.2	0.191245	0	0.447034	0
ENSG00000282980	AC055839.1	1.50103	1.546033	7.459349	1.363136
ENSG00000282987	AC099753.1	0.010367	0	0	0
ENSG00000282988	AL031777.3	1.269547	3.290588	0.289915	3.886759
ENSG00000282989	PDCL3P2	0.037037	0.054228	0.259571	0.047485
ENSG00000282993	AL356737.1	0	0	0	0
ENSG00000282994	AC215524.1	0	0.164666	0	0
ENSG00000282995	FRG1EP	0	0	0.164744	0
ENSG00000282996	MPP7-DT	0	0	0	0
ENSG00000282997	AL162456.1	0	0	0	0
ENSG00000282998	AC009975.2	0	0	0	0
ENSG00000283000	LINC02635	0	0	0	0
ENSG00000283001	AL450426.1	0	0	0	0
ENSG00000283003	AC007221.1	0	0	0	0
ENSG00000283005	CDC27P3	0	0	0	0
ENSG00000283010	AL589826.2	0	0	0	0
ENSG00000283016	AL139353.3	0	0	0	0.109146
ENSG00000283020	DUX4L37	0	0	0	0.093591
ENSG00000283023	FRG1GP	0	0	0	0
ENSG00000283025	AC027045.3	0	0	0	0
ENSG00000283031	AC009242.1	0.015914	0.030978	0.250202	0
ENSG00000283033	AC022596.2	0	0	0	0
ENSG00000283036	LINC01988	0	0	0	0
ENSG00000283039	KLF18	0	0	0	0
ENSG00000283040	AL669831.5	0	0	0	0
ENSG00000283041	AC008038.1	2.947129	2.151539	10.216235	1.573799
ENSG00000283043	AC097655.1	0	0	0	0
ENSG00000283044	AL391597.1	0	0	0	0
ENSG00000283045	AC103703.1	0.041377	0.12102	2.030553	0.106097
ENSG00000283047	FRG1FP	0	0	0.252409	0.045079
ENSG00000283050	GTF2IP12	0.949247	1.156435	14.425146	1.570651
ENSG00000283051	LINC01668	0	0	0.209688	0.996273
ENSG00000283052	LINC02456	0	0	0	0
ENSG00000283053	AL390862.1	0	0	0	0
ENSG00000283057	AC010653.3	0.2533	0.35618	0.868298	0.640084
ENSG00000283058	AC009234.1	0	0	0	0
ENSG00000283061	AC215522.3	0	0	0	0
ENSG00000283063	TRBV6-2	5.984901	5.64634	9.069917	6.528975
ENSG00000283064	AL353759.1	0.201061	0.444312	0.452045	0.902075
ENSG00000283065	AC133561.4	0	0	0	0
ENSG00000283069	DUX4L32	0	0	0	0
ENSG00000283071	LBHD2	0	0	0	0
ENSG00000283072	AL158175.1	0	0	0	0
ENSG00000283075	AL157931.2	0	0	0.245825	0
ENSG00000283076	AC015978.2	0	0	0	0
ENSG00000283078	AL137077.2	0.084363	0	0.196692	0.811071
ENSG00000283083	LINC02498	0	0	0	0
ENSG00000283084	AC026634.1	0	0	3.639514	0
ENSG00000283093	CENPVL2	0	0	0	0
ENSG00000283095	FP565171.1	0	0	0	0
ENSG00000283096	AL731555.1	0	0	0	0
ENSG00000283097	AL159152.1	0	0	0	0
ENSG00000283098	AL132857.1	0	0	0	0
ENSG00000283101	BMS1P21	0	0	0	0
